./edb
> wait> attach -d /dev/ttyUSB0
> attach -d /dev/ttyUSB0> wait[K
2.468: .0.
2.469: start
2.562: 353/64
2.578: end
2.579: start
2.675: 353/64
2.675: end
2.675: start
2.771: 353/64
2.771: end
2.771: start
2.886: 353/64
2.886: end
2.886: start
3.236: .5.
3.237: 353/64
3.238: end
3.238: start
3.333: 353/64
3.334: end
3.334: start
3.445: 353/64
3.446: end
3.446: start
3.538: 353/64
3.539: end
3.539: start
3.634: 353/64
3.653: end
3.653: start
4.002: .9.
4.003: 353/64
4.003: end
4.004: start
4.114: 353/64
4.114: end
4.115: start
4.213: 353/64
4.213: end
4.213: start
4.308: 353/64
4.309: end
4.321: start
4.418: 353/64
4.418: end
4.418: start
4.756: .7.
4.772: 353/64
4.772: end
4.772: start
4.868: 353/64
4.869: end
4.883: start
4.977: 353/64
4.978: end
4.979: start
5.073: 353/64
5.073: end
5.073: start
5.171: 353/64
5.188: end
5.188: start
5.525: .7.
5.538: 353/64
5.539: end
5.539: start
5.636: 353/64
5.636: end
5.636: start
5.729: 353/64
5.729: end
5.729: start
