3.831: a16465.
3.846: start
4.326: a122.
4.326: recovery: 124
4.550: a124.
4.757: a65535.
5.254: a23.
5.255: recovery: 24
5.480: a24.
5.959: a24.
6.182: a24.
6.660: a24.
6.887: a24.
7.364: a24.
7.590: a24.
7.779: a24.
8.275: a24.
8.502: a24.
8.981: a24.
9.186: a24.
9.683: a65535.
9.891: a57.
9.892: recovery: 59
10.114: a59.
10.597: a59.
10.817: a65535.
11.300: a24.
11.521: a24.
12.003: a24.
12.224: a24.
12.705: a24.
12.911: a24.
13.136: a59.
13.600: a59.
13.826: a59.
14.289: a65535.
14.511: a124.
15.007: a24.
15.230: a24.
15.438: a24.
15.933: a24.
16.157: a24.
16.638: a24.
16.845: a24.
17.343: a24.
17.565: a24.
17.773: a24.
18.254: a24.
18.476: a59.
18.958: a59.
19.179: a59.
19.660: a65535.
19.883: a24.
20.380: a24.
20.571: a24.
20.797: a24.
21.277: a24.
21.501: a24.
21.978: a59.
22.188: a59.
22.683: a59.
22.908: a65535.
22.923: end
22.924: chkpt[24]=0
22.924: chkpt[59]=0
22.924: chkpt[124]=0
22.950: D6 CC E9 B1 EF 04 77 39  ......w9
22.951: F8 01 92 45 5E 96 DE 6A  ...E^..j
22.951: start
23.430: a65535.
23.452: D6 CC E9 B1 EF 04 77 39  ......w9
23.453: F8 01 92 45 5E 96 DE 6A  ...E^..j
23.453: start
23.678: a24.
23.874: a24.
24.363: a24.
24.588: a24.
25.068: a24.
25.291: a24.
25.772: a24.
25.997: a24.
26.476: a24.
26.701: a24.
26.905: a24.
27.387: a24.
27.625: a59.
28.105: a59.
28.313: a59.
28.793: a24.
28.999: a24.
29.207: a24.
29.703: a24.
29.927: a24.
30.426: a24.
30.631: a59.
31.110: a59.
31.337: a59.
31.543: a65535.
32.022: a124.
32.229: a24.
32.712: a24.
32.917: a24.
33.399: a24.
33.607: a24.
33.830: a24.
34.324: a24.
34.531: a24.
35.030: a24.
35.236: a24.
35.734: a24.
35.938: a24.
36.421: a59.
36.644: a59.
36.836: a59.
37.330: a24.
37.541: a24.
38.035: a24.
38.257: a24.
38.740: a24.
38.944: a24.
39.171: a59.
39.632: a59.
39.842: a59.
40.336: a65535.
40.337: end
40.355: chkpt[24]=1
40.357: chkpt[59]=0
40.358: chkpt[124]=1
40.378: D6 CC E9 B1 EF 04 77 39  ......w9
40.379: F8 01 92 45 5E 96 DE 6A  ...E^..j
40.379: start
40.586: a65535.
40.614: D6 CC E9 B1 EF 04 77 39  ......w9
40.616: F8 01 92 45 5E 96 DE 6A  ...E^..j
40.616: start
41.075: a24.
41.301: a24.
41.796: a24.
42.005: a24.
42.225: a24.
42.708: a24.
42.914: a24.
43.409: a24.
43.632: a24.
44.115: a24.
44.336: a24.
44.816: a24.
45.023: a59.
45.231: a59.
45.730: a59.
45.950: a24.
46.430: a24.
46.654: a24.
47.136: a24.
47.344: a24.
47.550: a24.
48.029: a59.
48.237: a59.
48.716: a59.
48.942: a65535.
49.422: a124.
49.645: a24.
49.852: a24.
50.332: a24.
50.543: a24.
51.035: a24.
51.244: a24.
51.723: a24.
51.946: a24.
52.141: a24.
52.621: a24.
52.844: a24.
53.338: a24.
53.561: a59.
