3.505: a16465.
106.449: a65535.
106.660: a65535.
106.881: a65535.
107.376: a65535.
107.584: a65535.
108.063: a65535.
108.083: rate: samples/block: 353/64
108.083: end
108.084: chkpt[3]=1
108.095: chkpt[6]=128
108.332: a65535.
108.333: chkpt[36]=0
108.335: chkpt[56]=128
108.336: start: 
108.809: a3.
109.019: a3.
109.496: a3.
109.705: a3.
109.913: a3.
110.411: a3.
110.616: a3.
111.097: a3.
111.319: a3.
111.799: a3.
111.991: a3.
112.215: a3.
112.696: a3.
112.902: a36.
113.398: a36.
113.606: a36.
114.102: a36.
114.329: a36.
114.517: a36.
114.999: a36.
115.207: a36.
115.688: a65535.
115.908: a36.
116.372: a65535.
116.595: a65535.
116.787: a36.
117.268: a65535.
117.491: a65535.
117.987: a65535.
118.211: a65535.
118.690: a65535.
118.898: a65535.
118.917: rate: samples/block: 353/64
118.917: end
118.930: chkpt[3]=2
118.930: chkpt[6]=256
118.931: chkpt[36]=0
119.458: a65535.
119.459: chkpt[56]=256
119.459: start: 
119.665: a3.
119.876: a3.
120.355: a3.
120.577: a3.
121.040: a3.
121.266: a3.
121.761: a3.
121.983: a3.
122.192: a36.
122.671: a36.
122.897: a36.
123.361: a36.
123.583: a36.
124.062: a36.
124.289: a36.
124.494: a36.
124.962: a65535.
125.182: a36.
125.664: a65535.
125.885: a65535.
126.382: a65535.
126.608: a65535.
126.799: a65535.
127.280: a65535.
127.502: a65535.
127.982: a65535.
128.204: a65535.
128.239: rate: samples/block: 353/64
128.240: end
128.241: chkpt[3]=4
128.242: chkpt[6]=512
128.700: a65535.
128.701: chkpt[36]=0
128.718: chkpt[56]=512
128.720: start: 
128.923: a3.
129.404: a3.
129.626: a3.
129.821: a3.
130.298: a3.
130.521: a3.
131.005: a36.
131.210: a36.
131.705: a36.
131.896: a36.
132.136: a36.
132.616: a36.
132.824: a36.
133.320: a65535.
133.543: a65535.
134.007: a36.
134.232: a65535.
134.423: a65535.
134.919: a65535.
135.127: a65535.
135.608: a65535.
135.816: a65535.
136.294: a65535.
136.501: a65535.
136.726: a65535.
136.743: rate: samples/block: 353/64
136.744: end
136.745: chkpt[3]=8
136.763: chkpt[6]=1024
137.221: a65535.
137.223: chkpt[36]=0
137.238: chkpt[56]=1024
137.239: start: 
137.447: a3.
137.927: a3.
138.149: a3.
138.630: a3.
138.835: a36.
139.044: a36.
139.539: a36.
139.751: a36.
140.228: a36.
140.451: a36.
140.948: a36.
141.155: a36.
141.635: a65535.
141.843: a36.
142.081: a65535.
142.547: a65535.
142.753: a65535.
143.251: a65535.
