5.087: a16465.
5.103: start
5.599: a23.
5.601: recovery: 10
5.807: a10.
6.304: a65535.
6.527: a65535.
6.735: a65535.
7.214: a65535.
7.438: a65535.
7.935: a65535.
8.158: a65535.
8.639: a65535.
8.861: a65535.
9.343: a65535.
9.549: a65535.
9.775: a65535.
10.268: a65535.
10.496: a65535.
10.973: a65535.
11.196: a65535.
11.694: a65535.
11.916: a65535.
12.411: a65535.
12.636: a65535.
12.842: a46.
12.843: recovery: 35
13.339: a35.
13.562: a10.
14.044: a65535.
14.267: a10.
14.761: a10.
14.972: a65535.
15.193: a10.
15.197: stats: s 5 (62%) m 3 (37%) sum/tot 8/8: V
15.211: end
15.212: chkpt[10]=0
15.213: chkpt[35]=0
15.213: start
15.675: a65535.
15.881: a10.
16.376: a35.
16.603: a35.
17.081: a10.
17.303: a10.
17.783: a10.
17.994: a35.
18.215: a35.
18.695: a35.
18.918: a10.
19.413: a10.
19.637: a35.
20.119: a35.
20.324: a10.
20.535: a10.
21.015: a10.
21.220: a10.
21.700: a65535.
21.910: a10.
22.390: a65535.
22.612: a10.
23.107: a10.
23.331: a65535.
23.539: a10.
23.565: stats: s 5 (62%) m 3 (37%) sum/tot 8/8: V
23.566: end
23.567: chkpt[10]=1
23.568: chkpt[35]=0
23.568: start
24.042: a65535.
24.043: start
24.282: a35.
24.762: a35.
24.986: a35.
25.466: a35.
25.693: a35.
26.172: a35.
26.377: a35.
26.601: a35.
27.098: a65535.
27.321: a35.
27.802: a35.
28.024: a35.
28.504: a35.
28.712: a35.
28.938: a35.
29.418: a35.
29.640: a35.
30.118: a65535.
30.344: a65535.
30.840: a65535.
31.046: a65535.
31.543: a65535.
31.768: a65535.
31.974: a65535.
31.998: stats: s 5 (62%) m 3 (37%) sum/tot 8/8: V
31.999: end
32.001: chkpt[10]=2
32.002: chkpt[35]=0
32.003: start
32.490: a65535.
32.491: start
32.713: a35.
33.212: a35.
33.433: a35.
33.913: a35.
34.120: a35.
34.616: a35.
34.842: a35.
35.051: a35.
35.544: a65535.
35.770: a35.
36.247: a35.
36.473: a35.
36.954: a35.
37.158: a35.
37.656: a35.
37.861: a35.
38.088: a35.
38.582: a65535.
38.789: a65535.
39.271: a65535.
39.477: a65535.
39.957: a65535.
40.180: a65535.
40.391: a65535.
40.413: stats: s 5 (62%) m 3 (37%) sum/tot 8/8: V
40.413: end
40.414: chkpt[10]=4
40.415: chkpt[35]=0
40.415: start
40.876: a65535.
40.877: start
41.099: a35.
41.579: a35.
41.804: a35.
42.282: a35.
42.525: a35.
43.004: a35.
43.210: a35.
43.436: a35.
43.913: a65535.
44.137: a35.
44.617: a35.
44.840: a35.
45.322: a35.
45.544: a35.
46.040: a35.
46.247: a35.
46.471: a35.
46.952: a65535.
47.159: a65535.
47.639: a65535.
47.862: a65535.
48.341: a65535.
48.582: a65535.
48.807: a65535.
48.808: stats: s 5 (62%) m 3 (37%) sum/tot 8/8: V
48.809: end
48.810: chkpt[10]=8
48.810: chkpt[35]=0
48.811: start
49.272: a65535.
49.285: start
49.511: a35.
50.004: a35.
50.231: a35.
50.708: a35.
50.933: a35.
51.413: a35.
51.654: a35.
51.858: a35.
52.338: a65535.
52.562: a35.
53.042: a35.
53.266: a35.
53.746: a35.
53.969: a35.
54.449: a35.
54.675: a35.
54.897: a35.
55.379: a65535.
55.585: a65535.
56.083: a65535.
56.288: a65535.
56.786: a65535.
57.008: a65535.
57.219: a65535.
57.246: stats: s 5 (62%) m 3 (37%) sum/tot 8/8: V
57.247: end
57.249: chkpt[10]=16
57.251: chkpt[35]=0
57.252: start
57.705: a65535.
57.720: start
57.931: a35.
58.407: a35.
58.631: a35.
59.110: a35.
59.334: a35.
59.798: a35.
60.006: a35.
60.233: a35.
60.694: a65535.
60.918: a35.
61.414: a35.
61.656: a35.
62.135: a35.
62.343: a35.
62.567: a35.
63.029: a35.
63.253: a35.
63.732: a65535.
63.959: a65535.
64.439: a65535.
64.662: a65535.
65.138: a65535.
65.362: a65535.
65.603: a65535.
65.606: stats: s 5 (62%) m 3 (37%) sum/tot 8/8: V
65.607: end
65.609: chkpt[10]=32
65.610: chkpt[35]=0
65.611: start
66.079: a65535.
66.080: start
66.305: a35.
66.786: a35.
66.991: a35.
67.487: a35.
67.712: a35.
67.919: a35.
68.384: a35.
68.622: a35.
69.101: a65535.
69.327: a35.
69.823: a35.
70.047: a35.
70.510: a35.
70.748: a35.
70.972: a35.
71.452: a35.
71.678: a35.
72.155: a65535.
72.366: a65535.
72.843: a65535.
73.066: a65535.
73.278: a65535.
73.757: a65535.
74.009: a65535.
74.012: stats: s 5 (62%) m 3 (37%) sum/tot 8/8: V
74.013: end
74.015: chkpt[10]=64
74.016: chkpt[35]=0
74.017: start
74.488: a65535.
74.489: start
74.696: a35.
75.194: a35.
75.401: a35.
75.897: a35.
76.118: a35.
76.326: a35.
76.824: a35.
77.031: a35.
77.511: a65535.
77.718: a35.
78.198: a35.
78.423: a35.
78.629: a35.
79.092: a35.
79.302: a35.
79.765: a35.
79.988: a35.
80.483: a65535.
80.707: a65535.
81.186: a65535.
81.399: a65535.
81.638: a65535.
82.098: a65535.
82.321: a65535.
82.349: stats: s 5 (62%) m 3 (37%) sum/tot 8/8: V
82.349: end
82.350: chkpt[10]=128
82.350: chkpt[35]=0
82.350: start
82.825: a65535.
82.825: start
83.052: a35.
83.528: a35.
83.752: a35.
84.233: a35.
84.457: a35.
84.683: a35.
85.143: a35.
85.367: a35.
85.847: a65535.
86.055: a35.
86.552: a35.
86.760: a35.
86.982: a35.
87.449: a35.
87.672: a35.
88.166: a35.
88.390: a35.
88.886: a65535.
89.112: a65535.
89.304: a65535.
89.797: a65535.
90.022: a65535.
90.501: a65535.
90.741: a65535.
90.744: stats: s 5 (62%) m 3 (37%) sum/tot 8/8: V
90.745: end
90.746: chkpt[10]=256
90.747: chkpt[35]=0
90.748: start
