wait
91.727: rate: samples/block: 353/64
91.727: end
91.742: chkpt[3]=8
91.743: chkpt[40]=0
91.743: start: 
92.209: a65535.
92.398: a3.
92.606: a3.
93.087: a3.
93.277: a40.
93.756: a40.
93.964: a40.
94.157: a40.
94.621: a40.
94.828: a40.
95.311: a40.
95.515: a40.
95.994: a65535.
96.187: a40.
96.396: a65535.
96.860: a65535.
97.066: a40.
97.531: a65535.
97.548: rate: samples/block: 353/64
97.550: end
97.552: chkpt[3]=8
97.563: chkpt[40]=0
97.565: start: 
97.755: a65535.
97.945: a3.
98.394: a3.
98.603: a3.
99.064: a40.
99.291: a40.
99.496: a40.
99.959: a40.
100.168: a40.
100.664: a40.
100.889: a40.
101.351: a40.
101.575: a65535.
101.770: a40.
102.249: a65535.
102.457: a65535.
102.918: a40.
103.142: a65535.
103.175: rate: samples/block: 353/64
103.176: end
103.178: chkpt[3]=8
103.179: chkpt[40]=0
103.180: start: 
103.638: a65535.
103.846: a3.
104.039: a3.
104.516: a3.
104.709: a40.
105.172: a40.
105.399: a40.
105.588: a40.
106.067: a40.
106.259: a40.
106.738: a40.
106.964: a40.
107.445: a65535.
107.634: a40.
107.860: a65535.
108.322: a65535.
108.529: a40.
109.025: a65535.
109.026: rate: samples/block: 353/64
109.026: end
109.041: chkpt[3]=8
109.042: chkpt[40]=0
109.042: start: 
109.249: a65535.
109.729: a3.
109.936: a3.
110.129: a3.
110.595: a40.
110.801: a40.
111.282: a40.
111.474: a40.
111.680: a40.
112.162: a40.
112.367: a40.
112.834: a40.
113.022: a65535.
113.215: a40.
113.694: a65535.
113.908: a65535.
114.382: a40.
114.590: a65535.
114.606: rate: samples/block: 353/64
114.607: end
114.608: chkpt[3]=8
114.624: chkpt[40]=0
114.625: start: 
115.085: a65535.
115.294: a3.
115.485: a3.
115.949: a3.
116.156: a40.
116.620: a40.
116.812: a40.
117.020: a40.
117.483: a40.
117.675: a40.
118.155: a40.
118.362: a40.
118.573: a65535.
119.037: a65535.
119.245: a40.
119.721: a65535.
119.929: a65535.
120.395: a40.
120.602: a65535.
120.617: rate: samples/block: 353/64
120.618: end
120.619: chkpt[3]=8
120.636: chkpt[40]=0
120.636: start: 
120.824: a65535.
121.288: a3.
121.482: a3.
121.963: a3.
122.171: a40.
122.375: a40.
122.841: a40.
123.047: a40.
123.513: a40.
123.720: a40.
123.911: a40.
124.375: a40.
124.586: a65535.
125.049: a40.
125.256: a65535.
125.718: a65535.
125.942: a40.
126.150: a65535.
126.152: rate: samples/block: 353/64
126.153: end
126.166: chkpt[3]=8
126.168: chkpt[40]=0
126.169: start: 
126.630: a65535.
126.838: a3.
127.301: a3.
127.509: a3.
128.004: a40.
128.213: a40.
128.421: a40.
128.885: a40.
129.094: a40.
129.555: a40.
129.766: a40.
129.973: a40.
130.442: a65535.
130.647: a40.
131.123: a65535.
131.330: a65535.
131.524: a40.
131.988: a65535.
132.002: rate: samples/block: 353/64
132.002: end
132.017: chkpt[3]=8
132.018: chkpt[40]=0
132.018: start: 
132.210: a65535.
132.689: a3.
132.897: a3.
133.377: a3.
133.568: a40.
133.779: a40.
134.259: a40.
134.447: a40.
134.914: a40.
135.119: a40.
135.311: a40.
135.778: a40.
135.986: a65535.
136.446: a40.
136.654: a65535.
136.847: a65535.
137.310: a40.
137.533: a65535.
137.552: rate: samples/block: 353/64
137.552: end
137.552: chkpt[3]=8
137.566: chkpt[40]=0
137.566: start: 
138.032: a65535.
138.237: a3.
138.717: a3.
138.940: a3.
139.133: a40.
139.596: a40.
139.820: a40.
140.288: a40.
140.475: a40.
140.685: a40.
141.149: a40.
141.354: a40.
141.835: a65535.
142.042: a40.
142.508: a65535.
142.714: a65535.
142.906: a40.
143.372: a65535.
143.387: rate: samples/block: 353/64
143.387: end
143.404: chkpt[3]=8
143.405: chkpt[40]=0
143.406: start: 
143.613: a65535.
144.088: a3.
144.283: a3.
144.472: a3.
144.952: a40.
145.178: a40.
145.656: a40.
145.863: a40.
146.330: a40.
146.521: a40.
146.742: a40.
147.223: a40.
147.434: a65535.
147.910: a40.
148.121: a65535.
148.310: a65535.
148.773: a40.
148.981: a65535.
149.001: rate: samples/block: 353/64
149.001: end
149.013: chkpt[3]=8
149.013: chkpt[40]=0
149.014: start: 
149.477: a65535.
149.687: a3.
150.164: a3.
150.356: a3.
150.550: a40.
151.013: a40.
151.223: a40.
151.687: a40.
151.892: a40.
152.100: a40.
152.566: a40.
152.770: a40.
153.267: a65535.
153.474: a40.
153.667: a65535.
154.131: a65535.
154.340: a40.
154.801: a65535.
154.821: rate: samples/block: 353/64
154.821: end
154.822: chkpt[3]=8
154.834: chkpt[40]=0
154.835: start: 
155.025: a65535.
155.507: a3.
155.681: a3.
155.889: a3.
156.353: a40.
156.563: a40.
157.056: a40.
157.248: a40.
157.442: a40.
157.935: a40.
158.143: a40.
158.609: a40.
158.816: a65535.
159.021: a40.
159.470: a65535.
159.678: a65535.
160.157: a40.
160.369: a65535.
160.399: rate: samples/block: 353/64
160.400: end
160.401: chkpt[3]=8
160.403: chkpt[40]=0
160.404: start: 
160.858: a65535.
161.053: a3.
161.241: a3.
161.721: a3.
161.931: a40.
162.393: a40.
162.585: a40.
162.796: a40.
163.259: a40.
163.464: a40.
163.943: a40.
164.168: a40.
164.376: a65535.
164.824: a65535.
165.034: a40.
165.495: a65535.
165.705: a65535.
166.199: a40.
166.393: a65535.
166.409: rate: samples/block: 353/64
166.409: end
166.423: chkpt[3]=8
166.425: chkpt[40]=0
166.426: start: 
166.615: a65535.
167.097: a3.
167.302: a3.
167.765: a3.
167.975: a40.
168.167: a40.
168.629: a40.
168.853: a40.
169.316: a40.
169.524: a40.
169.715: a40.
170.163: a40.
170.371: a65535.
170.835: a40.
171.059: a65535.
171.540: a65535.
171.732: a40.
171.954: a65535.
171.981: rate: samples/block: 353/64
171.981: end
171.981: chkpt[3]=8
171.982: chkpt[40]=0
171.982: start: 
172.429: a65535.
