122.848: a1.
123.054: a1.
123.535: a1.
123.743: a1.
124.207: a1.
124.429: a1.
124.909: a1.
125.116: a1.
125.340: a1.
125.806: a1.
126.028: a1.
126.525: a1.
126.731: a1.
126.938: a1.
127.403: a1.
127.610: a1.
128.074: a1.
128.282: a1.
128.761: a1.
128.969: a1.
129.179: a1.
129.658: a1.
129.865: a1.
130.328: a1.
130.539: a1.
130.745: a1.
131.226: a1.
131.433: a1.
131.912: a1.
132.119: a1.
132.599: a1.
132.791: a1.
132.998: a1.
133.462: a1.
133.672: a1.
134.152: a1.
134.344: a1.
134.549: a1.
135.013: a1.
135.220: a1.
135.684: a1.
135.909: a1.
136.406: a1.
136.596: a1.
136.804: a1.
137.286: a1.
137.491: a1.
137.970: a1.
138.178: a1.
138.658: a1.
138.869: a1.
139.074: a1.
139.556: a1.
139.762: a1.
140.244: a1.
140.450: a1.
140.660: a1.
141.121: a1.
141.332: a1.
141.811: a1.
142.016: a1.
142.511: a1.
142.706: a1.
142.914: a1.
143.392: a1.
143.599: a1.
144.079: a1.
144.303: a1.
144.783: a1.
144.974: a1.
145.197: a1.
145.696: a1.
145.905: a1.
146.381: a1.
146.589: a1.
146.781: a1.
147.261: a1.
147.469: a1.
147.947: a1.
148.155: a1.
148.639: a1.
148.844: a1.
149.037: a1.
149.516: a1.
149.722: a1.
150.205: a1.
150.412: a1.
150.892: a1.
151.101: a1.
151.321: a1.
151.802: a1.
152.009: a1.
152.473: a1.
152.680: a1.
152.905: a1.
153.352: a1.
153.560: a1.
154.039: a1.

154.247: a1.
154.714: a1.
154.920: a1.
155.142: a1.
155.638: a1.
155.846: a1.
156.329: a1.
156.330: result: 3E
156.331: result: CB
156.359: result: F3
156.361: result: E6
156.362: result: B0
156.364: result: B5
156.365: result: 80
156.367: result: 57
156.565: a1.
156.593: result: D7
156.594: result: DB
156.597: result: C6
156.599: result: 6B
156.601: result: 31
156.602: end
156.603: chkpt[1]=1
156.605: chkpt[27]=1
156.615: chkpt[93]=1
156.618: chkpt[101]=1
156.620: chkpt[111]=1
156.620: start
157.079: a101.
157.287: a65535.
157.783: a110.
157.785: recovery: 111
157.974: a111.
158.181: a111.
158.661: a111.
158.872: a111.
159.351: a111.
159.573: a111.
159.767: a111.
160.244: a111.
160.452: a111.
160.916: a111.
161.140: a111.
161.620: a111.
161.828: a111.
162.019: a111.
162.517: a111.
162.722: a111.
163.217: a111.
163.442: a1.
163.906: a1.
164.114: a1.
164.340: a1.
164.865: a1.
165.092: a1.
165.570: a1.
165.776: a1.
166.243: a1.
166.448: a1.
166.674: a1.
167.138: a1.
167.343: a1.
167.839: a1.
168.048: a1.
168.239: a1.
168.718: a1.
168.926: a1.
169.409: a1.
169.630: a1.
170.110: a1.
170.319: a1.
170.544: a1.
171.004: a1.
171.212: a1.
171.693: a1.
171.900: a1.
172.364: a1.
172.575: a1.
172.782: a1.
173.245: a1.
173.454: a1.
173.930: a1.
174.157: a1.
174.650: a1.
174.861: a1.
175.066: a1.
175.564: a1.
175.769: a1.
176.249: a1.
176.473: a1.
176.954: a1.
177.144: a1.
177.352: a1.
177.836: a1.
178.056: a1.
178.535: a1.
178.760: a1.
178.951: a1.
179.433: a1.
179.646: a1.
180.118: a1.
180.329: a1.
180.824: a1.
181.032: a1.
181.224: a1.
181.719: a1.
181.941: a1.
182.421: a1.
182.645: a1.
183.108: a1.
183.320: a1.
183.540: a1.
184.022: a1.
184.243: a1.
184.723: a1.
184.947: a1.
185.411: a1.
185.635: a1.
185.843: a1.
186.310: a1.
186.530: a1.
187.011: a1.
187.217: a1.
187.697: a1.
187.907: a1.
188.097: a1.
188.577: a1.
188.800: a1.
189.282: a1.
189.504: a1.
189.983: a1.
190.175: a1.
190.383: a1.
190.863: a1.
191.071: a1.
191.553: a1.
191.743: a1.
191.950: a1.
192.414: a1.
192.624: a1.
193.101: a1.
193.310: a1.
193.805: a1.
194.032: a1.
194.220: a1.
194.720: a1.
194.924: a1.
195.404: a1.
195.631: a1.
196.110: a1.
196.300: a1.
196.507: a1.
196.987: a1.
197.210: a1.
197.690: a1.
197.899: a1.
198.381: a1.
198.605: a1.
198.794: a1.
199.276: a1.
199.483: a1.
199.961: a1.
200.171: a1.
200.651: a1.
200.873: a1.
201.080: a1.
201.559: a1.
201.783: a1.
202.249: a1.
202.457: a1.
202.952: a1.
203.174: a1.
203.382: a1.
203.862: a1.
204.070: a1.
204.533: a1.
204.760: a1.
205.236: a1.
205.447: a1.
205.670: a1.
206.132: a1.
206.356: a1.
206.820: a1.
207.031: a1.
207.236: a1.
207.699: a1.
207.930: a1.
208.403: a1.
208.627: a1.
209.107: a1.
209.317: a1.
209.525: a1.
209.972: a1.
210.195: a1.
210.659: a1.
210.865: a1.
211.329: a1.
211.540: a1.
211.748: a1.
212.224: a1.
212.448: a1.
212.945: a1.
213.153: a1.
213.633: a1.
213.858: a1.
214.050: a1.
214.529: a1.
214.753: a1.
215.213: a1.
215.422: a1.
215.901: a1.
216.120: a1.
216.336: a1.
216.832: a1.
217.039: a1.
217.500: a1.
217.727: a1.
217.916: a1.
218.396: a1.
218.604: a1.
219.084: a1.
219.292: a1.
219.774: a1.
219.995: a1.
220.202: a1.
220.682: a1.
220.906: a1.
221.373: a1.
221.594: a1.
222.074: a1.
222.298: a1.
222.508: a1.
222.985: a1.
223.192: a1.
223.672: a1.
223.881: a1.
224.360: a1.
224.568: a1.
224.776: a1.
225.258: a1.
225.465: a1.
225.942: a1.
226.150: a1.
226.630: a1.
226.841: a1.
227.062: a1.
227.529: a1.
227.752: a1.
228.229: a1.
228.438: a1.
228.916: a1.
229.109: a1.
229.317: a1.
229.799: a1.
230.003: a1.
230.469: a1.
230.677: a1.
230.886: a1.
231.366: a1.
231.587: a1.
232.069: a1.
232.070: result: 3E
232.097: result: CB
232.099: result: F3
232.100: result: E6
232.102: result: B0
232.103: result: B5
232.104: result: 80
232.105: result: 57
232.123: result: D7
232.124: result: DB
232.124: result: C6
232.125: result: 6B
232.125: result: 31
232.125: end
232.126: chkpt[1]=2
232.157: chkpt[27]=2
232.158: chkpt[93]=2
232.158: chkpt[101]=2
232.158: chkpt[111]=0
232.159: start
232.362: a1.
232.363: start
232.842: a111.
233.067: a111.
233.545: a111.
233.756: a111.
233.960: a111.
234.425: a111.
234.639: a111.
235.113: a111.
235.337: a111.
235.816: a111.
236.024: a111.
236.231: a111.
236.711: a111.
236.920: a111.
237.385: a111.
237.609: a111.
238.086: a111.
238.297: a111.
238.486: a1.
238.981: a1.
239.205: a1.
239.686: a1.
239.893: a1.
240.372: a1.
240.564: a1.
240.803: a1.
241.284: a1.
241.491: a1.
241.986: a1.
242.197: a1.
242.677: a1.
242.882: a1.
243.106: a1.
243.586: a1.
243.794: a1.
244.274: a1.
244.481: a1.
244.691: a1.
245.152: a1.
245.363: a1.
245.840: a1.
246.051: a1.
246.544: a1.
246.752: a1.
246.962: a1.
247.456: a1.
247.662: a1.
248.129: a1.
248.334: a1.
248.815: a1.
249.009: a1.
249.213: a1.
249.677: a1.
249.886: a1.
250.368: a1.
250.573: a1.
250.797: a1.
251.261: a1.
251.487: a1.
251.963: a1.
252.173: a1.
252.652: a1.
252.862: a1.
253.067: a1.
253.531: a1.
253.755: a1.
254.234: a1.
254.442: a1.
254.922: a1.
255.130: a1.
255.338: a1.
255.801: a1.
256.008: a1.
256.491: a1.
256.697: a1.
256.907: a1.
257.386: a1.
257.576: a1.
258.058: a1.
258.279: a1.
258.763: a1.
258.982: a1.
259.191: a1.
259.654: a1.
259.882: a1.
260.376: a1.
260.582: a1.
261.062: a1.
261.272: a1.
261.477: a1.
261.957: a1.
262.165: a1.
262.645: a1.
262.854: a1.
263.332: a1.
263.542: a1.
263.748: a1.
264.211: a1.
264.420: a1.
264.902: a1.
265.109: a1.
265.334: a1.
265.797: a1.
266.002: a1.
266.482: a1.
266.692: a1.
267.153: a1.
267.361: a1.
267.571: a1.
268.033: a1.
268.243: a1.
268.707: a1.
268.899: a1.
269.104: a1.
269.584: a1.
269.810: a1.
270.289: a1.
270.499: a1.
270.974: a1.
271.198: a1.
271.409: a1.
271.870: a1.
272.094: a1.
272.560: a1.
272.766: a1.
273.261: a1.
273.469: a1.
273.676: a1.
274.156: a1.
274.365: a1.
274.845: a1.
275.052: a1.
275.260: a1.
275.725: a1.
275.931: a1.
276.411: a1.
276.622: a1.
277.099: a1.
277.323: a1.
277.530: a1.
278.009: a1.
278.217: a1.
278.699: a1.
278.908: a1.
279.387: a1.
279.608: a1.
279.816: a1.
280.298: a1.
280.504: a1.
280.968: a1.
281.176: a1.
281.670: a1.
281.864: a1.
282.071: a1.
282.550: a1.
282.758: a1.
283.223: a1.
283.449: a1.
283.641: a1.
284.117: a1.
284.341: a1.
284.342: result: 3E
284.343: result: CB
284.343: result: F3
284.373: result: E6
284.374: result: B0
284.375: result: B5
284.376: result: 80
284.377: result: 57
284.378: result: D7
284.378: result: DB
284.388: result: C6
284.389: result: 6B
284.389: result: 31
284.389: end
284.417: chkpt[1]=4
284.418: chkpt[27]=4
284.418: chkpt[93]=4
284.419: chkpt[101]=4
284.419: chkpt[111]=1
284.419: start
284.882: a1.
284.883: start
285.103: a101.
285.629: a65535.
285.837: a103.
285.838: recovery: 112
286.302: a112.
286.510: a112.
286.718: a112.
287.181: a112.
287.390: a112.
287.852: a112.
288.064: a112.
288.269: a112.
288.749: a112.
288.974: a112.
289.454: a112.
289.659: a112.
290.139: a112.
290.366: a112.
290.557: a112.
291.034: a112.
291.242: a112.
291.721: a1.
291.929: a1.
292.409: a1.
292.617: a1.
292.827: a1.
293.291: a1.
293.499: a1.
293.976: a1.
294.200: a1.
294.392: a1.
294.856: a1.
295.063: a1.
295.542: a1.
295.751: a1.
296.230: a1.
296.454: a1.
296.664: a1.
297.142: a1.
297.351: a1.
297.830: a1.
298.039: a1.
298.533: a1.
298.741: a1.
298.950: a1.
299.429: a1.
299.636: a1.
300.100: a1.
300.327: a1.
300.532: a1.
301.011: a1.
301.219: a1.
301.698: a1.
