7.780: a16465.
7.781: start
8.271: a19.
8.272: recovery: 16
8.498: a16.
8.991: a16.
9.231: a16.
9.425: a16.
9.918: a16.
10.142: a65535.
10.632: a66.
10.634: recovery: 64
10.847: a64.
11.342: a64.
11.567: a16.
12.045: a16.
12.269: a16.
12.477: a64.
13.007: a64.
13.212: a64.
13.707: a16.
13.931: a16.
14.414: a16.
14.635: a16.
15.099: a16.
15.341: a64.
15.547: a64.
16.027: a64.
16.253: a16.
16.732: a16.
16.956: a16.
17.452: a64.
17.672: a64.
18.156: a64.
18.191: end
18.192: chkpt[16]=0
18.194: chkpt[64]=0
18.197: D6 CC E9 B1 EF 04 77 39  ......w9
18.200: F8 01 92 45 5E 96 DE 6A  ...E^..j
18.205: start
18.398: a16.
18.606: a16.
19.086: a16.
19.309: a16.
19.793: a16.
20.013: a64.
20.493: a64.
20.720: a64.
21.199: a16.
21.404: a16.
21.634: a16.
22.108: a64.
22.332: a64.
22.814: a64.
23.037: a16.
23.531: a16.
23.739: a16.
23.949: a16.
24.429: a16.
24.635: a64.
25.114: a64.
25.321: a64.
25.802: a16.
26.025: a16.
26.234: a64.
26.715: a64.
26.953: a64.
26.953: end
26.954: chkpt[16]=1
26.969: chkpt[64]=1
26.972: D6 CC E9 B1 EF 04 77 39  ......w9
26.987: F8 01 92 45 5E 96 DE 6A  ...E^..j
26.988: start
27.477: a16.
27.480: D6 CC E9 B1 EF 04 77 39  ......w9
27.482: F8 01 92 45 5E 96 DE 6A  ...E^..j
27.483: start
27.686: a16.
28.180: a16.
28.406: a16.
28.882: a16.
29.108: a16.
29.589: a64.
29.795: a64.
30.018: a64.
30.499: a16.
30.723: a16.
31.201: a64.
31.425: a64.
31.904: a64.
32.128: a16.
32.320: a16.
32.803: a16.
33.027: a16.
33.504: a16.
33.727: a64.
34.207: a64.
34.449: a64.
34.926: a16.
35.151: a16.
35.361: a16.
35.837: a64.
36.064: a64.
36.543: a64.
36.580: end
36.581: chkpt[16]=2
36.582: chkpt[64]=1
36.584: D6 CC E9 B1 EF 04 77 39  ......w9
36.586: F8 01 92 45 5E 96 DE 6A  ...E^..j
36.586: start
36.791: a16.
37.284: a16.
37.508: a16.
37.702: a64.
38.167: a64.
38.402: a64.
38.885: a64.
39.091: a16.
39.586: a64.
39.810: a64.
40.277: a64.
40.497: a64.
40.705: a16.
41.201: a16.
41.424: a16.
41.904: a64.
42.128: a64.
42.608: a64.
42.831: a16.
43.039: a16.
43.505: a64.
43.727: a64.
44.211: a64.
44.211: end
44.236: chkpt[16]=4
44.238: chkpt[64]=2
44.241: D6 CC E9 B1 EF 04 77 39  ......w9
44.244: F8 01 92 45 5E 96 DE 6A  ...E^..j
44.245: start
44.444: a64.
44.469: D6 CC E9 B1 EF 04 77 39  ......w9
44.471: F8 01 92 45 5E 96 DE 6A  ...E^..j
44.471: start
44.945: a16.
45.153: a16.
45.633: a64.
45.872: a64.
46.368: a16.
46.578: a16.
46.802: a64.
47.299: a64.
47.521: a16.
47.999: a16.
48.226: a16.
48.704: a64.
48.926: a64.
49.134: a16.
49.614: a64.
49.837: a64.
50.317: a64.
50.333: end
50.333: chkpt[16]=8
50.334: chkpt[64]=4
50.360: D6 CC E9 B1 EF 04 77 39  ......w9
50.360: F8 01 92 45 5E 96 DE 6A  ...E^..j
50.361: start
50.569: a16.
51.045: a16.
51.269: a64.
51.749: a64.
51.960: a64.
52.181: a16.
52.659: a64.
52.883: a64.
53.366: a16.
53.589: a16.
54.086: a64.
54.307: a64.
54.789: a16.
54.994: a64.
55.221: a64.
55.714: a64.
55.714: end
55.714: chkpt[16]=8
55.715: chkpt[64]=8
55.739: D6 CC E9 B1 EF 04 77 39  ......w9
55.740: F8 01 92 45 5E 96 DE 6A  ...E^..j
55.740: start
55.948: a16.
56.442: a16.
56.666: a64.
57.130: a64.
57.354: a16.
57.849: a64.
58.057: a64.
58.281: a64.
58.760: a16.
58.987: a16.
59.467: a64.
59.687: a64.
60.170: a16.
60.391: a16.
60.886: a64.
61.094: a64.
61.095: end
61.095: chkpt[16]=8
61.128: chkpt[64]=8
61.130: D6 CC E9 B1 EF 04 77 39  ......w9
61.131: F8 01 92 45 5E 96 DE 6A  ...E^..j
61.132: start
61.336: a16.
61.814: a16.
62.020: a64.
62.503: a64.
62.707: a16.
63.204: a16.
63.411: a64.
63.619: a64.
64.102: a16.
64.307: a16.
64.786: a64.
65.029: a64.
65.506: a16.
65.730: a64.
66.213: a64.
66.213: end
66.229: chkpt[16]=16
66.231: chkpt[64]=8
66.463: a64.
66.466: D6 CC E9 B1 EF 04 77 39  ......w9
66.469: F8 01 92 45 5E 96 DE 6A  ...E^..j
66.470: start
66.654: a16.
67.135: a16.
67.358: a64.
67.837: a64.
68.046: a16.
68.525: a64.
68.749: a64.
68.956: a64.
69.436: a16.
69.644: a16.
70.140: a64.
70.350: a64.
70.827: a16.
71.038: a64.
71.262: a64.
71.263: end
71.264: chkpt[16]=32
71.276: chkpt[64]=16
71.741: a64.
71.744: D6 CC E9 B1 EF 04 77 39  ......w9
71.757: F8 01 92 45 5E 96 DE 6A  ...E^..j
71.758: start
71.962: a16.
72.444: a16.
72.665: a64.
73.162: a64.
73.387: a16.
73.867: a64.
74.057: a64.
74.281: a16.
74.777: a16.
74.984: a64.
75.482: a64.
75.687: a64.
76.170: a16.
76.391: a64.
76.600: a64.
76.600: end
76.646: chkpt[16]=64
76.647: chkpt[64]=32
76.649: D6 CC E9 B1 EF 04 77 39  ......w9
76.650: F8 01 92 45 5E 96 DE 6A  ...E^..j
76.651: start
77.074: a65535.
77.297: a16.
77.774: a16.
77.997: a64.
78.477: a64.
78.700: a16.
78.894: a64.
79.375: a64.
79.598: a16.
80.076: a16.
80.300: a64.
80.781: a64.
80.989: a64.
81.467: a16.
81.674: a64.
81.901: a64.
81.901: end
81.902: chkpt[16]=64
81.902: chkpt[64]=32
81.932: D6 CC E9 B1 EF 04 77 39  ......w9
81.933: F8 01 92 45 5E 96 DE 6A  ...E^..j
81.933: start
82.392: a65535.
82.600: a16.
83.066: a16.
83.288: a64.
83.767: a64.
83.977: a16.
84.199: a64.
84.678: a64.
84.888: a16.
85.384: a16.
85.606: a16.
86.069: a64.
86.293: a64.
86.517: a16.
86.981: a64.
87.205: a64.
87.205: end
87.207: chkpt[16]=128
87.239: chkpt[64]=32
87.241: D6 CC E9 B1 EF 04 77 39  ......w9
87.244: F8 01 92 45 5E 96 DE 6A  ...E^..j
87.249: start
87.701: a65535.
87.923: a16.
88.401: a16.
88.628: a64.
89.105: a64.
89.313: a16.
89.521: a64.
90.001: a64.
90.225: a16.
90.704: a16.
90.914: a64.
91.391: a64.
91.616: a64.
91.823: a16.
92.322: a64.
92.543: a64.
92.543: end
92.579: chkpt[16]=128
92.580: chkpt[64]=32
92.582: D6 CC E9 B1 EF 04 77 39  ......w9
92.583: F8 01 92 45 5E 96 DE 6A  ...E^..j
92.583: start
93.043: a65535.
93.269: a16.
93.746: a16.
93.969: a64.
94.450: a64.
94.673: a16.
94.880: a64.
95.362: a64.
95.585: a16.
96.064: a16.
96.275: a64.
96.752: a64.
96.978: a64.
97.168: a16.
97.664: a64.
97.873: a64.
97.886: end
97.887: chkpt[16]=128
97.887: chkpt[64]=32
97.911: D6 CC E9 B1 EF 04 77 39  ......w9
97.913: F8 01 92 45 5E 96 DE 6A  ...E^..j
97.914: start
98.374: a16.
98.601: a16.
99.078: a16.
99.301: a64.
99.512: a64.
99.973: a16.
100.182: a64.
100.663: a64.
100.868: a16.
101.366: a16.
101.575: a64.
101.782: a64.
102.249: a64.
102.451: a16.
102.931: a64.
103.155: a64.
103.172: end
