10.041: a16465.
10.057: start: 
10.535: a6.
10.537: recovery: 3
10.760: a3.
11.240: a3.
11.430: a3.
11.642: a3.
12.120: a3.
12.330: a3.
12.807: a65535.
13.014: a56.
13.015: recovery: 44
13.496: a44.
13.719: a44.
13.911: a44.
14.404: a44.
14.613: a44.
15.092: a44.
15.300: a44.
15.780: a44.
15.988: a44.
16.197: a44.
16.676: a44.
16.899: a44.
17.362: a44.
17.572: a44.
17.598: rate: samples/block: 353/64
17.599: end
17.599: chkpt[3]=0
17.599: chkpt[44]=0
17.600: start: 
18.081: a3.
18.270: a3.
18.478: a3.
18.977: a3.
19.184: a3.
19.645: a3.
19.869: a44.
20.348: a44.
20.557: a44.
20.748: a44.
21.211: a44.
21.438: a44.
21.918: a44.
22.140: a44.
22.333: a44.
22.797: a44.
23.018: a44.
23.500: a44.
23.709: a44.
24.188: a44.
24.409: a44.
24.410: rate: samples/block: 353/64
24.410: end
24.428: chkpt[3]=1
24.428: chkpt[44]=1
24.429: start: 
24.905: a3.
25.116: a3.
25.323: a3.
25.801: a3.
26.008: a3.
26.472: a3.
26.667: a3.
26.871: a65535.
27.353: a44.
27.368: recovery: 56
27.576: a56.
28.040: a56.
28.249: a56.
28.439: a56.
28.902: a56.
29.129: a56.
29.620: a56.
29.816: a56.
30.294: a56.
30.502: a56.
30.710: a56.
31.173: a56.
31.383: a56.
31.862: a56.
31.877: rate: samples/block: 353/64
31.877: end
31.877: chkpt[3]=2
31.892: chkpt[44]=2
31.893: chkpt[56]=0
31.893: start: 
32.101: a3.
32.580: a3.
32.790: a3.
32.999: a3.
33.461: a3.
33.684: a56.
34.166: a56.
34.374: a56.
34.850: a56.
35.045: a56.
35.250: a56.
35.746: a56.
35.954: a56.
36.433: a56.
36.627: a56.
36.833: a56.
37.313: a56.
37.523: a56.
38.000: a56.
38.226: a56.
38.227: rate: samples/block: 353/64
38.227: end
38.242: chkpt[3]=4
38.243: chkpt[44]=4
38.243: chkpt[56]=0
38.255: start: 
38.723: a3.
38.927: a3.
39.121: a3.
39.599: a3.
39.807: a56.
40.289: a56.
40.481: a56.
40.686: a56.
41.167: a56.
41.358: a56.
41.838: a56.
42.046: a56.
42.544: a56.
42.735: a56.
42.941: a56.
43.406: a56.
43.631: a56.
44.109: a56.
44.316: a56.
44.348: rate: samples/block: 353/64
44.348: end
44.349: chkpt[3]=8
44.350: chkpt[44]=8
44.351: chkpt[56]=1
44.351: start: 
44.811: a3.
45.020: a3.
45.212: a3.
45.678: a3.
45.882: a3.
46.372: a65535.
46.587: a24.
46.588: recovery: 20
46.777: a20.
47.256: a20.
47.448: a20.
47.912: a20.
48.120: a20.
48.346: a20.
48.808: a20.
49.016: a20.
49.498: a20.
49.703: a20.
50.182: a20.
50.376: a20.
50.582: a20.
51.062: a20.
51.082: rate: samples/block: 353/64
51.083: end
51.085: chkpt[3]=16
51.097: chkpt[20]=0
51.099: chkpt[44]=16
51.101: chkpt[56]=2
51.112: start: 
51.304: a3.
51.781: a3.
51.992: a3.
52.469: a20.
52.679: a20.
52.870: a20.
53.348: a20.
53.575: a20.
54.038: a20.
54.243: a20.
54.435: a20.
54.916: a20.
55.126: a20.
55.587: a20.
55.795: a20.
56.275: a20.
56.466: a20.
56.692: a20.
56.728: rate: samples/block: 353/64
56.728: end
56.729: chkpt[3]=16
56.729: chkpt[20]=1
56.729: chkpt[44]=32
56.730: chkpt[56]=4
56.730: start: 
57.191: a3.
57.399: a3.
57.879: a3.
58.090: a3.
58.569: a65535.
58.758: a7.
58.759: recovery: 9
58.967: a9.
59.447: a9.
59.641: a9.
60.118: a9.
60.346: a9.
60.533: a9.
61.013: a9.
61.220: a9.
61.702: a9.
61.908: a9.
62.390: a9.
62.582: a9.
62.803: a9.
63.285: a9.
63.288: rate: samples/block: 353/64
63.299: end
63.301: chkpt[3]=32
63.302: chkpt[9]=0
63.304: chkpt[20]=2
63.316: chkpt[44]=64
63.318: chkpt[56]=8
63.320: start: 
63.526: a65535.
63.990: a3.
64.194: a3.
64.658: a3.
64.865: a9.
65.073: a9.
65.555: a9.
65.761: a9.
66.260: a9.
66.480: a9.
66.675: a9.
67.136: a9.
67.343: a9.
67.840: a9.
68.048: a9.
68.527: a9.
68.719: a9.
68.927: a9.
69.408: a9.
69.445: rate: samples/block: 353/64
69.446: end
69.446: chkpt[3]=32
69.447: chkpt[9]=1
69.447: chkpt[20]=4
69.448: chkpt[44]=128
69.449: chkpt[56]=16
69.450: start: 
69.637: a65535.
70.119: a3.
70.342: a3.
70.534: a3.
71.012: a65535.
71.219: a65535.
71.699: a3.
71.700: recovery: 6
71.908: a6.
72.389: a65535.
72.578: a8.
72.594: recovery: 56
72.802: a56.
73.269: a56.
73.457: a56.
73.937: a56.
74.162: a56.
74.353: a56.
74.801: a56.
75.009: a56.
75.491: a56.
75.699: a56.
76.175: a56.
76.385: a56.
76.579: a56.
77.056: a56.
77.099: rate: samples/block: 353/64
77.100: end
77.101: chkpt[3]=32
77.102: chkpt[6]=0
77.102: chkpt[9]=2
77.103: chkpt[20]=8
77.104: chkpt[44]=256
77.105: chkpt[56]=0
77.105: start: 
77.309: a6.
77.770: a6.
77.980: a6.
78.169: a6.
78.633: a6.
78.841: a6.
79.305: a56.
79.530: a56.
79.722: a56.
80.183: a56.
80.393: a56.
80.871: a56.
81.063: a56.
81.543: a56.
81.751: a56.
81.959: a56.
82.424: a56.
82.633: a56.
83.111: a56.
83.317: a56.
83.513: a56.
83.553: rate: samples/block: 353/64
83.554: end
83.555: chkpt[3]=64
83.555: chkpt[6]=1
83.556: chkpt[9]=4
83.557: chkpt[20]=16
83.558: chkpt[44]=512
83.558: chkpt[56]=1
83.559: start: 
83.983: a6.
84.190: a6.
84.670: a6.
84.877: a6.
85.343: a6.
85.549: a6.
85.741: a6.
86.204: a65535.
86.415: a8.
86.415: recovery: 56
86.908: a56.
87.118: a56.
87.323: a56.
87.788: a56.
87.999: a56.
88.478: a56.
88.667: a56.
88.877: a56.
89.356: a56.
89.562: a56.
90.027: a56.
90.249: a56.
90.714: a56.
90.921: a56.
90.941: rate: samples/block: 353/64
90.941: end
90.942: chkpt[3]=128
90.953: chkpt[6]=2
90.953: chkpt[9]=8
90.954: chkpt[20]=32
90.969: chkpt[44]=1024
90.970: chkpt[56]=0
90.970: start: 
91.163: a3.
91.641: a6.
91.851: a6.
92.315: a6.
92.523: a6.
92.712: a56.
93.192: a56.
93.399: a56.
93.866: a56.
94.072: a56.
94.551: a56.
94.743: a56.
94.951: a56.
95.432: a56.
95.638: a56.
96.118: a56.
96.338: a56.
96.533: a56.
96.982: a56.
97.189: a56.
97.207: rate: samples/block: 353/64
97.208: end
97.235: chkpt[3]=256
97.236: chkpt[6]=2
97.236: chkpt[9]=16
97.237: chkpt[20]=64
97.237: chkpt[44]=2048
97.238: chkpt[56]=1
97.238: start: 
