4.026: a16464.
4.027: start
4.520: a84.
4.521: recovery: 86
4.743: a86.
5.252: a65535.
5.463: a111.
5.464: recovery: 110
5.958: a110.
6.184: a110.
6.393: a110.
6.870: a110.
7.093: a110.
7.589: a65535.
7.813: a125.
7.814: recovery: 123
8.310: a123.
8.536: a123.
9.012: a123.
9.236: a123.
9.445: a123.
9.925: a123.
10.147: a123.
10.627: a123.
10.851: a123.
11.347: a123.
11.554: a123.
11.762: a123.
12.244: a65535.
12.466: a18.
12.467: recovery: 26
12.945: a26.
13.169: a65535.
13.652: a1.
13.652: recovery: 7
13.876: a7.
14.353: a7.
14.561: a7.
14.768: a7.
15.264: a7.
15.474: a7.
15.952: a7.
16.175: a7.
16.655: a7.
16.863: a7.
17.070: a7.
17.552: a7.
17.777: a7.
18.254: a7.
18.462: a7.
18.942: a7.
19.133: a7.
19.357: a7.
19.836: a7.
20.060: a7.
20.542: a7.
20.766: a7.
21.243: a7.
21.467: a7.
21.676: a7.
22.154: a7.
22.363: a7.
22.842: a7.
23.070: a7.
23.546: a7.
23.756: a7.
23.978: a7.
24.441: a7.
24.668: a7.
25.147: a7.
25.368: a7.
25.850: a7.
26.072: a7.
26.280: a7.
26.759: a7.
26.967: a7.
27.450: a7.
27.657: a7.
28.150: a7.
28.362: a7.
28.566: a7.
29.033: a7.
29.254: a7.
29.734: a7.
29.960: a7.
30.438: a7.
30.644: a7.
30.839: a7.
31.317: a7.
31.543: a7.
32.020: a7.
32.228: a7.
32.707: a7.
32.915: a7.
33.125: a7.
33.602: a7.
33.812: a7.
34.290: a7.
34.514: a7.
34.994: a7.
35.204: a7.
35.425: a7.
35.891: a7.
36.119: a7.
36.592: a7.
36.804: a7.
37.280: a7.
37.488: a7.
37.696: a7.
38.159: a7.
38.383: a7.
38.865: a7.
39.072: a7.
39.569: a7.
39.775: a7.
39.985: a7.
40.465: a7.
40.686: a7.
41.149: a7.
41.357: a7.
41.855: a7.
42.045: a7.
42.269: a7.
42.748: a7.
42.956: a7.
43.451: a7.
43.659: a7.
44.138: a7.
44.347: a7.
44.555: a7.
45.037: a7.
45.242: a7.
45.725: a7.
45.948: a7.
46.137: a7.
46.636: a7.
46.857: a7.
47.339: a7.
47.576: a7.
48.104: a7.
48.329: a7.
48.808: a7.
49.034: a7.
49.243: a7.
49.735: a7.
49.945: a7.
50.425: a7.
50.648: a7.
51.125: a7.
51.337: a7.
51.560: a7.
52.038: a7.
